codigo_estudiante,nombre,curso_codigo,curso_nombre,grupo
,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ESCUELA PROFESIONAL : CIENCIA DE LA COMPUTACIÃN,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ALUMNOS MATRICULADOS POR ASIGNATURA,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ASIGNATURA : TRABAJO INTERDISCIPLINAR II,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,CICLO : B - GRUPO : A,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,FECHA : 2025-10-09,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
CUI,Nro,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233590,1,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232284,2,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20230573,3,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20213145,4,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20231537,5,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233598,6,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20222178,7,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20222145,8,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20222179,9,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233582,10,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20221737,11,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20230579,12,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233589,13,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232279,14,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200364,15,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232276,16,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232282,17,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233577,18,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20230585,19,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20220724,20,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232274,21,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233595,22,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20224274,23,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20230578,24,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233583,25,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20204428,26,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20232278,27,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20213147,28,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20230580,29,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20231535,30,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20233581,31,1703240,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
